DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
9/27/16,214.05,215.68,213.62,215.57,1,3.52,0.08,2.0571,1.4737,0.8,19.49,2.58,0.87,-0.19,B,0.92,19.95,64.1064,18.97,-0.4982,185444567536,-1.8452,16,9,27,2
9/28/16,215.83,216.82,214.71,216.64,1,3.51,0.08,2.0624,1.4729,0.77,19.36,2.6,0.86,-0.2,B,0.93,19.84,71.5259,19.16,1.7955,187833680526,1.3067,16,9,28,3
9/29/16,216.4,216.87,214.04,214.68,1,3.5,0.08,2.1391,1.4712,0.83,19.48,2.3,0.87,-0.2,B,0.93,19.83,69.1711,18.38,-1.5768,186014479251,-1.2892,16,9,29,4
9/30/16,215.65,217.12,215.36,216.3,1,3.48,0.08,2.1692,1.4721,0.81,19.4,2.97,0.87,-0.21,B,0.9,19.81,73.0137,18.17,0.3957,187994151209,1.0922,16,9,30,5
10/3/16,215.82,216.04,215.04,215.78,1,3.47,0.08,2.0783,1.4727,0.83,19.28,2.72,0.87,-0.21,B,0.92,19.81,73.7734,17.71,-0.6902,187397902757,-0.2668,16,10,3,1
10/4/16,215.91,216.17,213.99,214.68,1,3.45,0.08,2.0885,1.4721,0.83,19.03,2.48,0.87,-0.21,B,0.95,19.81,68.2775,16.61,-3.0283,186011830532,-2.3415,16,10,4,2
10/5/16,215.41,216.13,215.33,215.63,1,3.43,0.08,2.0246,1.4688,0.8,19.18,2.46,0.87,-0.22,B,0.85,19.81,67.1132,15.88,-1.7788,187593866598,-0.161,16,10,5,3
10/6/16,215.37,216.04,214.74,215.78,1,3.42,0.08,1.9522,1.4649,0.8,19.13,2.46,0.86,-0.22,B,0.81,19.81,64.7913,15.04,-2.2805,187181328815,-0.9679,16,10,6,4
10/7/16,216.1,216.3,214.19,215.04,1,3.4,0.09,1.9679,1.4611,0.82,19.18,2.33,0.87,-0.23,B,0.79,19.81,57.844,14.26,-4.0445,186036145347,-2.6745,16,10,7,5
10/10/16,216.16,216.7,215.99,216.16,1,3.38,0.09,1.9371,1.4586,0.84,18.93,2.48,0.86,-0.23,B,0.74,19.81,58.533,13.6,-1.5529,187277650964,-0.324,16,10,10,1
10/11/16,215.66,215.74,212.58,213.43,1,3.35,0.09,2.1014,1.4582,0.91,19.23,2.16,0.88,-0.23,B,0.87,19.81,49.0224,13.32,-5.1222,184817183378,-4.1661,16,10,11,2
10/12/16,213.59,214.32,213.01,213.71,1,3.33,0.09,2.0223,1.4599,0.93,19.43,1.87,0.89,-0.23,I,0.84,19.81,42.3933,13.0,-4.3744,184933461428,-3.5455,16,10,12,3
